PI,AA,AB,AG,LA,LB,LC,NR,GY,IP,AL,AR,SU,BA,AC,AH,TRI,TRII,DG,KD,CC,CP,CA,PP,PA,AA,NC,NA,HB
137L,90,103.56,90,54.07,55.91,59.86,164,-0.416,10.32,37.8,9.15,3.05,16.46,21.34,10.37,45.73,54.27,-7.7,2.30E-06,11,9,12,9,12,2,34.12,36.08,333
1A4R,90,90,90,98.65,98.65,104.16,191,-0.133,6.51,34.55,8.38,4.19,13.09,18.32,13.61,46.07,53.93,-5.3,1.30E-04,5,4,10,1,0,33,30.56,41.32,332
1ALH,90,90,90,194.392,167.251,76.32,446,-0.353,5.63,41.93,4.93,2.69,11.43,20.85,13.68,36.32,63.68,-23.2,9.20E-18,28,46,61,33,72,104,31.54,37.34,871
1ALI,90,90,90,194.86,167.43,76.53,449,-0.364,5.3,41.65,4.9,2.67,11.14,21.16,13.81,36.3,63.7,-24.3,1.50E-18,30,50,61,33,76,108,30.2,38.4,911
1AQ0,90,104.36,90,49.58,82.99,77.56,306,0.111,9.32,43.79,10.78,4.25,7.84,15.03,12.42,37.25,62.75,-9.1,2.10E-07,1,5,14,5,16,25,12.11,49.88,540
1ATL,90,90,120,97.32,97.32,87.76,202,-0.364,5.78,33.66,7.43,5.45,13.86,24.26,11.88,49.5,50.5,-6.6,1.40E-05,5,4,9,4,1,4,30,32.07,409
1AUR,90,90,90,81.49,81.49,144.53,218,0.018,4.86,41.74,8.72,4.13,9.63,17.89,11.47,48.17,51.83,-8.3,8.10E-07,7,5,16,2,12,20,24.03,47.73,365
1AZT,90,90,90,88.3,96.5,133.4,402,-0.648,6.2,31.09,9.45,3.73,16.67,26.87,8.71,48.76,51.24,-10.4,2.50E-08,22,7,20,0,6,15,35.4,32.88,626
1BAI,90,90,120,62.61,62.61,132.15,124,-0.015,5.62,42.74,3.23,4.84,12.1,18.55,11.29,50.81,49.19,-16.6,6.80E-13,23,16,24,2,44,65,27.37,52.11,184
1BC2,90,90,120,67.63,67.63,178.38,227,-0.283,8.44,40.53,5.73,1.32,15.42,21.15,13.66,43.61,56.39,-8.1,1.20E-06,3,6,24,1,2,18,33.1,33.45,413
1BDQ,90,90,120,62.91,62.91,83.56,99,0.299,9.38,50.51,5.05,3.03,11.11,16.16,8.08,51.52,48.48,-13.2,2.20E-10,5,4,12,11,46,78,22.67,51.33,132
1BSR,90,90,90,36.5,66.7,107.5,124,-0.612,9.03,23.39,5.65,12.1,17.74,17.74,19.35,39.52,60.48,-16.2,1.30E-12,20,19,39,14,27,43,26.34,28.29,215
1C6X,90,90,90,88.21,88.21,32.92,99,0.195,7.26,46.46,5.05,4.04,10.1,18.18,9.09,52.53,47.47,-13.5,1.30E-10,5,4,13,11,46,77,24,49.33,133
1C77,90,90,90,43.87,59.26,102.42,136,-0.622,6.55,30.15,12.5,0.74,16.91,19.85,13.24,38.97,61.03,-6.8,1.10E-05,6,6,11,1,4,14,37.21,34.42,170
1C7Z,90,93.6,90,47.7,55.3,90.6,191,-0.385,6.03,35.08,9.95,5.76,14.66,21.47,9.42,59.69,40.31,-9.8,6.90E-08,13,12,29,4,10,5,34.05,37.99,395
1C8B,90,90,90,77.41,77.41,313.74,371,-0.219,4.56,39.89,4.58,3.23,12.67,23.99,10.78,47.17,52.83,-7.7,2.30E-06,3,8,28,7,13,34,32.87,44.82,359
1C8T,90,90,90,120.1,47,54.9,167,-0.384,4.79,34.73,11.98,1.2,11.98,19.76,11.98,37.72,62.28,-6.8,1.10E-05,3,0,20,0,1,36,25.19,43.89,250
1C8U,90,90,90,95.902,119.805,165.479,285,-0.261,6.65,37.54,9.47,1.75,13.33,20.35,10.53,45.96,54.04,-20.1,1.80E-15,33,56,59,9,41,38,26.8,46.65,541
1CI9,90,90,120,83.444,83.444,194.576,392,0.03,5.12,48.47,7.65,1.79,11.22,15.05,9.18,44.9,55.1,-4.3,7.50E-04,19,0,4,0,0,2,29.78,52.27,725
1CKG,90,90,90,65.257,106.667,39.542,130,-0.448,9.14,36.92,10,7.69,15.38,20.77,7.69,51.54,48.46,-7.3,4.30E-06,2,4,10,0,4,8,29.85,35.32,245
1CPJ,90,97.29,90,47.09,90.25,62.1,260,-0.371,4.75,34.62,11.15,6.92,10.38,20,12.31,43.08,56.92,-8.2,9.10E-07,1,12,8,14,19,7,23.25,37.25,413
1DB2,90,90,120,92.6,92.6,251.5,377,-0.104,7.23,35.01,9.81,3.98,13,18.3,14.06,44.83,55.17,-14.1,4.50E-11,7,10,23,2,28,15,29.14,36.06,643
1DIG,90,90,90,67.889,136.419,61.579,306,-0.175,6.79,40.52,4.25,4.25,13.73,20.59,10.78,45.42,54.58,-11.4,4.20E-09,17,27,26,12,23,16,32.91,37.76,565
1DLE,90,95.55,90,51.643,74.259,73.258,298,-0.51,8.1,33.56,8.05,4.03,17.45,21.14,10.07,46.98,53.02,-9.3,1.40E-07,14,5,20,0,6,16,36.21,33.62,435
1DPM,90,91.9,90,129.6,91.4,69.4,329,0.099,7.71,44.07,7.29,2.13,12.46,15.2,14.59,44.98,55.02,-12.5,7.10E-10,11,10,34,8,26,33,28.71,44.31,689
1DSU,101.26,109.89,74.32,40.99,65.02,40.36,228,-0.167,7.26,44.3,3.51,4.39,14.91,16.67,10.09,47.37,52.63,-7.2,4.80E-06,4,1,20,0,4,20,25.77,45.09,380
1DTH,90,90,120,97.21,97.21,87.91,203,-0.38,5.78,33.5,7.39,5.42,13.79,24.63,11.82,49.75,50.25,-6.3,2.30E-05,4,10,8,9,4,1,29.63,31.31,341
1E55,90,90,90,91.8,95,117.5,512,-0.561,5.52,31.05,13.67,3.52,12.7,21.68,11.13,41.6,58.4,-9.5,1.00E-07,7,16,18,1,10,18,33.73,33.73,1031
